category,title,company,location,salary_min,salary_max,salary_is_predicted,posted_date,remote_type,employment_time,employment_type,seniority,url,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8
it-jobs,Data Engineer,Strategic Legal Practices,"Century, Los Angeles County",105000,190000,0,2025-06-18T22:52:16Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5257501717?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Data Analyst,Quality Talent Group,"Middletown, Lake County",91647.06,91647.06,1,2025-12-16T22:21:30Z,on-site,,permanent,mid,https://www.adzuna.com/details/5545245184?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,"H1b or USC or GC - MongoDB , Mongo DB admin",eFulgent,"Colorado, US",135200,156000,0,2025-12-26T15:10:09Z,on-site,,contract,mid,https://www.adzuna.com/details/5556911086?utm_medium=api&utm_source=8b89c1ee,python,,,,,,,
it-jobs,Senior Desktop Engineer,Vedder Price Careers,"The Gap, Chicago",159473.84,159473.84,1,2025-12-20T15:01:22Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5550454679?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,SAP BW/4 HANA Consultant,Axiom Software Solutions Limited,"Baton Rouge, East Baton Rouge Parish",112107.28,112107.28,1,2025-08-22T12:52:21Z,remote,,contract,mid,https://www.adzuna.com/details/5363869343?utm_medium=api&utm_source=8b89c1ee,sql,,,,,,,
it-jobs,Business Systems Analyst Top Secret,SiloSmashers,"Forest Heights, Prince George's County",90526.41,90526.41,1,2025-07-11T20:52:54Z,on-site,,permanent,mid,https://www.adzuna.com/details/5298894443?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Senior Oracle Database Administrator,Saalex,"Lexington Park, St. Mary's County",140000,158000,0,2025-12-16T19:46:52Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5545096873?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Data Analytics Architect,The Timberline Group,"Saint Louis, Saint Louis County",209,209,0,2024-08-01T05:12:16Z,on-site,,permanent,mid,https://www.adzuna.com/details/4804469167?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Target Digital Network Analyst- Level 3,Hoplite Solutions LLC,US,105785.84,105785.84,1,2025-11-14T12:33:43Z,on-site,,permanent,mid,https://www.adzuna.com/details/5496415801?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Senior System Analyst (789896),"NITELINES USA, INC","Atlanta, Fulton County",83351.66,83351.66,1,2025-12-22T19:23:26Z,on-site,,contract,senior,https://www.adzuna.com/details/5552453126?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,IT Security Engineer,Glocomms,"Saint Petersburg, Pinellas County",110000,140000,0,2025-12-08T17:29:37Z,hybrid,full_time,permanent,mid,https://www.adzuna.com/details/5533985593?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Applied AI / ML Engineer,Catalyst Labs,Florida,198896.25,198896.25,1,2025-10-16T19:36:35Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5451019750?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,"Software Engineer, Networking",Anza,"New York City, New York",191339.78,191339.78,1,2025-09-26T09:39:39Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5415452667?utm_medium=api&utm_source=8b89c1ee,r,,,,,,,
it-jobs,Software Engineer - Senior - TS required to apply; Washington DC,Bow Wave LLC,"Crystal, Arlington County",140000,150000,0,2025-11-23T12:20:42Z,on-site,,permanent,senior,https://www.adzuna.com/details/5510562392?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Lead Software Engineer (Backend),Visa,"Bellevue, King County",101967.72,101967.72,1,2025-12-05T02:39:29Z,on-site,,permanent,senior,https://www.adzuna.com/details/5529007253?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
it-jobs,Full Stack Developer (Java),Openkyber,"Tennessee, Drew County",114400,124800,0,2025-12-22T15:13:10Z,remote,,permanent,mid,https://www.adzuna.com/details/5552306896?utm_medium=api&utm_source=8b89c1ee,sql,aws,,,,,,
